"word","rating","sd","surveygroup","n","groupsize"
"cock",1.5,1.06321906614239,2,24,25
"bye",2.24,1.23423390543824,2,25,25
"vast",1.24,1.01159939369957,2,25,25
"hits",1.24,0.723417813807024,2,25,25
"listing",1.4,1.08012344973464,2,25,25
"prize",1.96,1.27410099024109,2,25,25
"today",1.68,1.21518174223721,2,25,25
"creation",2.76,1.50775771705315,2,25,25
"ratio",3.44,1.58324561160506,2,25,25
"mark",1.24,0.66332495807108,2,25,25
"watch",1.92,1.22202018532156,2,25,25
"ads",1.12,0.439696865275764,2,25,25
"hour",2.92,1.38202749610853,2,25,25
"resident",1.625,0.875388112682647,2,24,25
"mob",1.24,0.830662386291808,2,25,25
"hills",1.25,1.03209369308428,2,24,25
"argument",2.28,1.3076696830622,2,25,25
"key",1.32,0.556776436283002,2,25,25
"legs",1.32,1.06926766215636,2,25,25
"prison",1.52,0.822597511950204,2,25,25
"viewer",2.36,1.38082101181387,2,25,25
"structures",2.56,1.4456832294801,2,25,25
"cause",2.88,1.4525839046334,2,25,25
"post",1.32,0.690410505906933,2,25,25
"park",1.36,1.15036226178249,2,25,25
"turn",1.48,1.00498756211209,2,25,25
"set",1.2,0.707106781186547,2,25,25
"rounds",2.16,1.14309521329882,2,25,25
"savings",1.76,1.09087121146357,2,25,25
"capital",1.96,1.39880901722382,2,25,25
"pot",1.16,0.553774924194538,2,25,25
"asshole",2.2,1.38443731048635,2,25,25
"biological",2.96,1.54056266777218,2,25,25
"ray",1.28,0.678232998312527,2,25,25
"authorities",3.32,1.65126214353344,2,25,25
"locate",1.84,0.850490054811538,2,25,25
"scout",2.12,1.48099065943487,2,25,25
"copyright",3.28,1.86010752377383,2,25,25
"bomb",2.2,1.58113883008419,2,25,25
"seem",1.4,0.645497224367903,2,25,25
"flesh",1.4,0.763762615825973,2,25,25
"document",2.08,1.15181016954473,2,25,25
"psychological",4.72,1.64620776331543,2,25,25
"cycle",2.875,1.32902383267799,2,24,25
"with",1.76,1.16476034731041,2,25,25
"advantage",2.44,1.38684293751431,2,25,25
"ticket",1.72,1.13724814061547,2,25,25
"teach",2.24,1.16476034731041,2,25,25
"subscribers",2.4,1.38443731048635,2,25,25
"intelligent",2.52,1.55777619273972,2,25,25
"bond",1.24,0.597215762238964,2,25,25
"anymore",1.96,1.20692446601544,2,25,25
"interpretation",3,1.56037899521099,2,24,25
"pen",1.32,1.14455231422596,2,25,25
"level",1.36,0.860232526704263,2,25,25
"uniform",2.08333333333333,1.2128538629009,2,24,25
"posts",1.48,0.770281333886089,2,25,25
"challenging",2.84,1.4047538337137,2,25,25
"please",2.44,1.41656862405839,2,25,25
"threats",2.08,1.28840987267251,2,25,25
"initially",3.32,1.43527000944073,2,25,25
"interview",2.48,1.44683562761405,2,25,25
"requiring",3.32,1.796292478041,2,25,25
"pressing",1.68,1.21518174223721,2,25,25
"laboratory",2.76,1.7625738755203,2,25,25
"scene",3.16,1.7,2,25,25
"kid",1.32,0.9,2,25,25
"affected",1.84,1.17898261225516,2,25,25
"parents",1.64,0.860232526704263,2,25,25
"seed",1.52,1.12249721603218,2,25,25
"feedback",1.64,1.15036226178249,2,25,25
"lately",2.04,1.20692446601545,2,25,25
"filed",2.08,1.03762549441823,2,25,25
"temperature",2.92,1.46969384566991,2,25,25
"wins",1.28,0.842614977317636,2,25,25
"programs",1.56,1.15758369027902,2,25,25
"recognition",3.4,1.52752523165195,2,25,25
"earth",2.92,1.60519988371127,2,25,25
"opponent",1.8,1.08012344973464,2,25,25
"invest",1.48,1.22882057274445,2,25,25
"put",1.4,0.816496580927726,2,25,25
"southern",2.72,1.33915396177338,2,25,25
"figured",2.52,1.38804418757713,2,25,25
"plenty",1.68,1.14455231422596,2,25,25
"specifications",3.72,1.62069943748576,2,25,25
"interests",1.8,1.25830573921179,2,25,25
"said",2.4,1.25830573921179,2,25,25
"component",1.6,1,2,25,25
"down",1.56,1.29357386079548,2,25,25
"subject",1.4,1,2,25,25
"border",1.36,0.757187779440036,2,25,25
"manner",1.24,0.597215762238964,2,25,25
"explained",2.56,1.38684293751431,2,25,25
"sexual",2.28,1.45830952361516,2,25,25
"changing",2.4,1.22474487139159,2,25,25
"considered",2.16,1.491084616423,2,25,25
"bare",2,1.08012344973464,2,25,25
"green",1.44,0.869865890046659,2,25,25
"concert",1.96,0.978093383408081,2,25,25
"he's",1.6,0.957427107756338,2,25,25
"lotus",2,1.04083299973307,2,25,25
"delete",2.36,1.41067359796659,2,25,25
"token",1.72,1.06144555520604,2,25,25
"plot",1.28,0.737111479583199,2,25,25
"bring",1.4,0.866025403784439,2,25,25
"further",2.04,1.17189305541646,2,25,25
"anything",2.04,1.36869767784319,2,25,25
"chuck",1.8,1.08012344973464,2,25,25
"wash",1.4,0.707106781186548,2,25,25
"wall",1.12,0.439696865275764,2,25,25
"gained",2.36,1.28711563842052,2,25,25
"worse",2.16,1.21380943040221,2,25,25
"checking",1.52,0.77028133388609,2,25,25
"fill",1.24,0.830662386291808,2,25,25
"temple",1.84,1.1060440015358,2,25,25
"result",1.92,1.25565388012249,2,25,25
"telecommunications",4.08,1.44106442141449,2,25,25
"tremendous",3.4,1.58113883008419,2,25,25
"kingdom",1.72,1.17331439378654,2,25,25
"signs",3.48,1.89560896108172,2,25,25
"rice",2.12,1.09239797387826,2,25,25
"basic",1.6,1.08012344973464,2,25,25
"sells",1.48148148148148,1.08735283249559,3,27,27
"single",1.88888888888889,1.01273936708367,3,27,27
"training",2.37037037037037,1.39085331163029,3,27,27
"shame",2.22222222222222,1.2810252304407,3,27,27
"whenever",2.37037037037037,1.24493274913047,3,27,27
"computing",2.51851851851852,1.28213674928794,3,27,27
"warranty",2.55555555555556,1.31070542760329,3,27,27
"maintaining",2.48148148148148,1.64948407715798,3,27,27
"harder",1.62962962962963,1.18152926159761,3,27,27
"third",2,1.07417231105915,3,27,27
